r030,txt,rate,cc,exchangedate
554,Новозеландський долар,20.4429,NZD,07.01.2021
578,Норвезька крона,3.3299,NOK,07.01.2021
643,Російський рубль,0.37951,RUB,07.01.2021
682,Саудівський ріял,7.5711,SAR,07.01.2021
702,Сінгапурський долар,21.5336,SGD,07.01.2021
710,Ренд,1.8893,ZAR,07.01.2021
752,Шведська крона,3.4668,SEK,07.01.2021
756,Швейцарський франк,32.2594,CHF,07.01.2021
818,Єгипетський фунт,1.811,EGP,07.01.2021
826,Фунт стерлінгів,38.5568,GBP,07.01.2021
840,Долар США,28.4028,USD,07.01.2021
933,Білоруський рубль,10.9651,BYN,07.01.2021
944,Азербайджанський манат,16.7183,AZN,07.01.2021
946,Румунський лей,7.1542,RON,07.01.2021
949,Турецька ліра,3.8424,TRY,07.01.2021
960,СПЗ (спеціальні права запозичення),41.0897,XDR,07.01.2021
975,Болгарський лев,17.8119,BGN,07.01.2021
978,Євро,34.846,EUR,07.01.2021
985,Злотий,7.6607,PLN,07.01.2021
12,Алжирський динар,0.21416,DZD,07.01.2021
50,Така,0.33343,BDT,07.01.2021
51,Вірменський драм,0.054105,AMD,07.01.2021
364,Іранський ріал,0.0006732,IRR,07.01.2021
368,Іракський динар,0.019366,IQD,07.01.2021
417,Сом,0.3421,KGS,07.01.2021
422,Ліванський фунт,0.018756,LBP,07.01.2021
434,Лівійський динар,21.1383,LYD,07.01.2021
458,Малайзійський ринггіт,7.0047,MYR,07.01.2021
504,Марокканський дирхам,3.1763,MAD,07.01.2021
704,Донг,0.0012244,VND,07.01.2021
764,Бат,0.9445,THB,07.01.2021
784,Дирхам ОАЕ,7.698,AED,07.01.2021
788,Туніський динар,10.5192,TND,07.01.2021
860,Узбецький сум,0.0026988,UZS,07.01.2021
901,Новий тайванський долар,1.006,TWD,07.01.2021
934,Туркменський новий манат,8.0785,TMT,07.01.2021
936,Ганське седі,4.8198,GHS,07.01.2021
941,Сербський динар,0.29536,RSD,07.01.2021
972,Сомоні,2.5022,TJS,07.01.2021
981,Ларі,8.6366,GEL,07.01.2021
986,Бразильський реал,5.4505,BRL,07.01.2021
959,Золото,55324.39,XAU,07.01.2021
961,Срібло,777.81,XAG,07.01.2021
962,Платина,30724.16,XPT,07.01.2021
964,Паладій,68959.16,XPD,07.01.2021
36,Австралійський долар,21.8659,AUD,08.01.2021
124,Канадський долар,22.261,CAD,08.01.2021
156,Юань Женьміньбі,4.3944,CNY,08.01.2021
191,Куна,4.6098,HRK,08.01.2021
203,Чеська крона,1.3286,CZK,08.01.2021
208,Данська крона,4.6847,DKK,08.01.2021
344,Гонконгівський долар,3.6635,HKD,08.01.2021
348,Форинт,0.096763,HUF,08.01.2021
356,Індійська рупія,0.38811,INR,08.01.2021
360,Рупія,0.0020407,IDR,08.01.2021
376,Новий ізраїльський шекель,8.8703,ILS,08.01.2021
392,Єна,0.27601,JPY,08.01.2021
398,Теньге,0.067419,KZT,08.01.2021
410,Вона,0.026129,KRW,08.01.2021
484,Мексиканське песо,1.4151,MXN,08.01.2021
498,Молдовський лей,1.6524,MDL,08.01.2021
554,Новозеландський долар,20.4429,NZD,08.01.2021
578,Норвезька крона,3.3299,NOK,08.01.2021
643,Російський рубль,0.37951,RUB,08.01.2021
682,Саудівський ріял,7.5711,SAR,08.01.2021
702,Сінгапурський долар,21.5336,SGD,08.01.2021
710,Ренд,1.8893,ZAR,08.01.2021
752,Шведська крона,3.4668,SEK,08.01.2021
756,Швейцарський франк,32.2594,CHF,08.01.2021
818,Єгипетський фунт,1.811,EGP,08.01.2021
826,Фунт стерлінгів,38.5568,GBP,08.01.2021
840,Долар США,28.4028,USD,08.01.2021
933,Білоруський рубль,10.9651,BYN,08.01.2021
944,Азербайджанський манат,16.7183,AZN,08.01.2021
946,Румунський лей,7.1542,RON,08.01.2021
949,Турецька ліра,3.8424,TRY,08.01.2021
960,СПЗ (спеціальні права запозичення),41.0897,XDR,08.01.2021
975,Болгарський лев,17.8119,BGN,08.01.2021
